id,platform_order_id,user_id,shop_id,delivery_tracking_number,status,purchase_timestamp,shipment_timestamp,to_deliver_timestamp,delivery_timestamp,to_notify_timestamp,notification_timestamp
141,149,126,3,,LEGACY,2015-05-27 21:42:17,2015-05-28 10:24:53,2015-06-02 10:24:53,2015-06-02 10:24:53,2015-06-05 10:24:53,2015-06-05 10:24:53
142,150,127,3,,LEGACY,2015-05-29 13:42:40,2015-05-30 09:50:33,2015-06-04 09:50:33,2015-06-04 09:50:33,2015-06-07 09:50:33,2015-06-07 09:50:33
143,151,128,3,,LEGACY,2015-05-31 17:11:47,2015-06-15 08:16:30,2015-06-20 08:16:30,2015-06-20 08:16:30,2015-06-23 08:16:30,2015-06-23 08:16:30
144,152,129,3,,LEGACY,2015-05-31 18:38:22,2015-06-02 15:14:33,2015-06-07 15:14:33,2015-06-07 15:14:33,2015-06-10 15:14:33,2015-06-10 15:14:33
145,153,130,3,,LEGACY,2015-06-01 20:21:09,2015-06-04 12:15:02,2015-06-09 12:15:02,2015-06-09 12:15:02,2015-06-12 12:15:02,2015-06-12 12:15:02
146,154,131,3,,LEGACY,2015-06-02 19:37:26,2015-06-04 11:52:36,2015-06-09 11:52:36,2015-06-09 11:52:36,2015-06-12 11:52:36,2015-06-12 11:52:36
147,155,132,3,,FAILED,2015-06-05 22:30:48,,,,,
148,156,132,3,,FAILED,2015-06-05 22:34:44,,,,,
149,157,133,3,,LEGACY,2015-06-07 11:01:22,2015-06-18 11:05:41,2015-06-23 11:05:41,2015-06-23 11:05:41,2015-06-26 11:05:41,2015-06-26 11:05:41
150,158,134,3,,LEGACY,2015-06-10 21:51:10,2015-06-18 14:47:38,2015-06-23 14:47:38,2015-06-23 14:47:38,2015-06-26 14:47:38,2015-06-26 14:47:38
151,159,135,3,,LEGACY,2015-06-11 07:18:52,2015-06-18 10:54:25,2015-06-23 10:54:25,2015-06-23 10:54:25,2015-06-26 10:54:25,2015-06-26 10:54:25
152,160,136,3,,LEGACY,2015-06-13 11:07:14,2015-06-15 15:16:33,2015-06-20 15:16:33,2015-06-20 15:16:33,2015-06-23 15:16:33,2015-06-23 15:16:33
153,161,69,3,,LEGACY,2015-06-13 11:28:19,2015-06-18 09:50:10,2015-06-23 09:50:10,2015-06-23 09:50:10,2015-06-26 09:50:10,2015-06-26 09:50:10
154,162,137,3,,LEGACY,2015-06-14 19:01:19,2015-06-15 15:33:45,2015-06-20 15:33:45,2015-06-20 15:33:45,2015-06-23 15:33:45,2015-06-23 15:33:45
155,163,69,3,,LEGACY,2015-06-15 10:17:21,2015-06-18 09:49:54,2015-06-23 09:49:54,2015-06-23 09:49:54,2015-06-26 09:49:54,2015-06-26 09:49:54
156,164,138,3,,LEGACY,2015-06-24 19:33:22,2015-06-25 11:45:26,2015-06-30 11:45:26,2015-06-30 11:45:26,2015-07-03 11:45:26,2015-07-03 11:45:26
157,165,139,3,,LEGACY,2015-06-27 22:32:35,2015-06-29 09:03:57,2015-07-04 09:03:57,2015-07-04 09:03:57,2015-07-07 09:03:57,2015-07-07 09:03:57
158,166,81,3,,LEGACY,2015-07-01 07:01:08,2015-07-02 11:35:23,2015-07-07 11:35:23,2015-07-07 11:35:23,2015-07-10 11:35:23,2015-07-10 11:35:23
159,167,140,3,,LEGACY,2015-07-01 15:15:21,2015-07-03 09:34:48,2015-07-08 09:34:48,2015-07-08 09:34:48,2015-07-11 09:34:48,2015-07-11 09:34:48
160,168,141,3,,STALLED,2015-07-03 21:38:28,,,,,
161,169,142,3,,LEGACY,2015-07-04 08:39:14,2015-07-04 10:10:24,2015-07-09 10:10:24,2015-07-09 10:10:24,2015-07-12 10:10:24,2015-07-12 10:10:24
162,170,143,3,,STALLED,2015-07-04 15:34:18,,,,,
163,171,144,3,,FAILED,2015-07-06 08:24:18,,,,,
164,172,145,3,,LEGACY,2015-07-06 11:57:08,2015-07-06 15:18:22,2015-07-11 15:18:22,2015-07-11 15:18:22,2015-07-14 15:18:22,2015-07-14 15:18:22
165,173,146,3,,LEGACY,2015-07-06 13:28:07,2015-07-06 15:20:58,2015-07-11 15:20:58,2015-07-11 15:20:58,2015-07-14 15:20:58,2015-07-14 15:20:58
166,174,147,3,,LEGACY,2015-07-11 08:38:11,2015-07-11 09:44:32,2015-07-16 09:44:32,2015-07-16 09:44:32,2015-07-19 09:44:32,2015-07-19 09:44:32
167,175,148,3,,LEGACY,2015-07-12 15:42:29,2015-07-13 13:55:26,2015-07-18 13:55:26,2015-07-18 13:55:26,2015-07-21 13:55:26,2015-07-21 13:55:26
168,176,126,3,,LEGACY,2015-07-19 11:03:36,2015-07-23 10:28:06,2015-07-28 10:28:06,2015-07-28 10:28:06,2015-07-31 10:28:06,2015-07-31 10:28:06
169,177,149,3,,LEGACY,2015-07-19 12:14:03,2015-07-23 14:16:04,2015-07-28 14:16:04,2015-07-28 14:16:04,2015-07-31 14:16:04,2015-07-31 14:16:04
170,178,149,3,,LEGACY,2015-07-19 12:16:28,2015-07-23 10:45:56,2015-07-28 10:45:56,2015-07-28 10:45:56,2015-07-31 10:45:56,2015-07-31 10:45:56
171,179,150,3,,LEGACY,2015-07-21 14:07:36,2015-07-23 10:39:12,2015-07-28 10:39:12,2015-07-28 10:39:12,2015-07-31 10:39:12,2015-07-31 10:39:12
172,180,151,3,,LEGACY,2015-07-21 21:48:30,2015-07-23 10:45:34,2015-07-28 10:45:34,2015-07-28 10:45:34,2015-07-31 10:45:34,2015-07-31 10:45:34
173,181,152,3,,LEGACY,2015-07-24 14:25:30,2015-07-25 10:55:45,2015-07-30 10:55:45,2015-07-30 10:55:45,2015-08-02 10:55:45,2015-08-02 10:55:45
174,182,153,3,,LEGACY,2015-07-30 14:27:14,2015-07-31 13:38:08,2015-08-05 13:38:08,2015-08-05 13:38:08,2015-08-08 13:38:08,2015-08-08 13:38:08
175,183,154,3,,FAILED,2015-07-31 13:15:25,,,,,
176,184,154,3,,LEGACY,2015-07-31 13:17:28,2015-08-03 08:34:55,2015-08-08 08:34:55,2015-08-08 08:34:55,2015-08-11 08:34:55,2015-08-11 08:34:55
177,185,155,3,,LEGACY,2015-08-04 18:36:25,2015-08-06 09:18:45,2015-08-11 09:18:45,2015-08-11 09:18:45,2015-08-14 09:18:45,2015-08-14 09:18:45
178,186,156,3,,LEGACY,2015-08-12 13:13:01,2015-08-15 10:18:37,2015-08-20 10:18:37,2015-08-20 10:18:37,2015-08-23 10:18:37,2015-08-23 10:18:37
179,187,157,3,,LEGACY,2015-08-14 13:23:48,2015-08-15 10:31:54,2015-08-20 10:31:54,2015-08-20 10:31:54,2015-08-23 10:31:54,2015-08-23 10:31:54
180,188,158,3,,LEGACY,2015-08-17 11:22:07,2015-08-20 13:33:32,2015-08-25 13:33:32,2015-08-25 13:33:32,2015-08-28 13:33:32,2015-08-28 13:33:32
181,189,159,3,,LEGACY,2015-08-27 10:24:12,2015-08-28 18:29:10,2015-09-02 18:29:10,2015-09-02 18:29:10,2015-09-05 18:29:10,2015-09-05 18:29:10
182,190,160,3,,LEGACY,2015-08-30 18:00:56,2015-09-03 12:39:58,2015-09-08 12:39:58,2015-09-08 12:39:58,2015-09-11 12:39:58,2015-09-11 12:39:58
183,191,161,3,,LEGACY,2015-09-02 13:17:10,2015-09-03 14:02:25,2015-09-08 14:02:25,2015-09-08 14:02:25,2015-09-11 14:02:25,2015-09-11 14:02:25
184,192,162,3,,LEGACY,2015-09-03 15:34:06,2015-09-05 13:48:09,2015-09-10 13:48:09,2015-09-10 13:48:09,2015-09-13 13:48:09,2015-09-13 13:48:09
185,193,163,3,,LEGACY,2015-09-10 21:21:10,2015-09-11 12:38:15,2015-09-16 12:38:15,2015-09-16 12:38:15,2015-09-19 12:38:15,2015-09-19 12:38:15
186,194,164,3,,LEGACY,2015-09-11 09:12:24,2015-09-11 12:46:25,2015-09-16 12:46:25,2015-09-16 12:46:25,2015-09-19 12:46:25,2015-09-19 12:46:25
187,195,165,3,,LEGACY,2015-09-13 18:49:19,2015-09-17 12:25:51,2015-09-22 12:25:51,2015-09-22 12:25:51,2015-09-25 12:25:51,2015-09-25 12:25:51
